Date,Income Type,Amount,Description
02-03-2023,Other,2062.44,Interest
04-03-2023,Salary,2461.53,Dividends
05-03-2023,Salary,4133.62,Gift
07-03-2023,Salary,3505.64,Bonus
08-03-2023,Freelance,605.3,Consulting
12-03-2023,Salary,4672.04,Gift
14-03-2023,Investment,2785.18,Bonus
15-03-2023,Freelance,4403.37,Gift
18-03-2023,Freelance,3592.55,Dividends
19-03-2023,Freelance,2449.85,Bonus
20-03-2023,Other,3904.62,Bonus
21-03-2023,Freelance,1359.43,Interest
28-03-2023,Salary,2301.24,Gift
29-03-2023,Freelance,883.33,Dividends
